,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
142,PLX-4720,188268,1768,0.8880090497737556,0.9056712962962963,0.978125,0.9405048076923077,0.603735119047619,0.9341866904551438,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
143,Paclitaxel,189637,399,0.7493734335839599,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.741579914268218,0.5820936054107213,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
144,Palbociclib,189211,825,0.6145454545454545,0.6129518072289156,0.8696581196581197,0.7190812720848058,0.6909430438842203,0.7537940372791866,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
145,Parthenolide,189634,402,0.17164179104477612,0.0,0.0,0.0,0.7408277843060452,0.928056317269316,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
146,Pazopanib,189168,868,0.7811059907834101,0.830379746835443,0.9213483146067416,0.8735019973368843,0.6218939066551427,0.8744641928004051,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
147,Pelitinib,189115,921,0.3485342019543974,0.3042973286875726,0.9961977186311787,0.4661921708185053,0.7704820460665458,0.5984920848373277,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
148,Pevonedistat,189332,704,0.5269886363636364,0.5252525252525253,0.9891304347826086,0.6861451460885957,0.697949016563147,0.718865366240854,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
149,Phenformin,189124,912,0.45614035087719296,0.37468030690537085,0.9766666666666667,0.5415896487985212,0.6393627450980393,0.43424740426645214,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
150,Pictilisib,188305,1731,0.462738301559792,0.3969849246231156,0.8600311041990669,0.5432220039292731,0.6244496729484951,0.5061784999323453,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
151,Piperlongumine,189106,930,0.35376344086021505,0.17891816920943135,0.9347826086956522,0.30034924330616997,0.7433574879227054,0.42163342976732704,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
152,Ponatinib,189156,880,0.6215909090909091,0.8840579710144928,0.6065340909090909,0.7194608256107835,0.7116719395661156,0.8973884498353124,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
153,Pyrimethamine,189635,401,0.6533665835411472,0.6580976863753213,0.9770992366412213,0.7864823348694316,0.7517985611510791,0.8527437230902891,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
154,QS11,189165,871,0.7290470723306545,0.7835497835497836,0.863275039745628,0.8214826021180031,0.7300450669434626,0.8647131859881508,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
155,Quizartinib,189115,921,0.9239956568946797,0.9756944444444444,0.945067264573991,0.9601366742596811,0.714898716561002,0.9857893724816176,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
156,RO-3306,189187,849,0.7762073027090695,0.9320809248554913,0.8185279187817259,0.8716216216216217,0.658254972122826,0.9631435979155211,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
157,Rapamycin,189674,362,0.43646408839779005,0.0,0.0,0.0,0.6732129560685034,0.7069028310083951,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
158,Refametinib,188315,1721,0.5345729227193492,0.706766917293233,0.20636663007683864,0.31945624468988953,0.550279844425472,0.6147917971599016,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
159,Rucaparib,189114,922,0.8503253796095445,0.9722222222222222,0.8690744920993227,0.9177592371871276,0.769563581640331,0.9870695575741354,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
160,Ruxolitinib,189114,922,0.6442516268980477,0.993127147766323,0.6407982261640798,0.7789757412398921,0.822339246119734,0.9945933674066717,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
161,S-Trityl-L-cysteine,189639,397,0.5163727959697733,0.4045307443365696,0.9398496240601504,0.5656108597285069,0.7196115288220551,0.5777687568165608,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
162,SB216763,189285,751,0.6591211717709721,0.9898167006109979,0.6594301221166893,0.7915309446254073,0.7289203333979455,0.9930020930475274,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
163,SB505124,189106,930,0.7720430107526882,0.9711538461538461,0.7873051224944321,0.869618696186962,0.6646018930957683,0.9824861667884213,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
164,SB52334,189117,919,0.8400435255712732,0.8400435255712732,1.0,0.9130691898285038,0.6480473018222833,0.9003370137128586,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
165,SB590885,189207,829,0.9131483715319663,0.9461827284105131,0.9630573248407643,0.9545454545454546,0.5449334105385061,0.9560698556045897,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
166,SGC0946,189124,912,0.21929824561403508,1.0,0.2175824175824176,0.3574007220216606,0.32857142857142857,0.9974959284829497,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
167,SL0101,189200,836,0.3349282296650718,0.9928571428571429,0.33413461538461536,0.5,0.32361778846153844,0.99277579947527,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
168,SN-38,189080,956,0.8064853556485355,0.39436619718309857,0.6,0.47592067988668546,0.810250350140056,0.45622149980374466,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
169,SNX-2112,189124,912,0.2774122807017544,0.25871766029246346,1.0,0.4110813226094728,0.78294657656509,0.5721955767610301,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
170,STF-62247,189118,918,0.8714596949891068,0.9761006289308176,0.8868571428571429,0.9293413173652695,0.7871627906976745,0.9834278883280412,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
171,Salubrinal,189638,398,0.7135678391959799,0.8781512605042017,0.7108843537414966,0.7857142857142857,0.7838500784929356,0.8992545711273627,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
172,Saracatinib,189630,406,0.7881773399014779,0.8818443804034583,0.8717948717948718,0.8767908309455588,0.6111370111370111,0.9092049811673725,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
